,id,doi,title,author,journaltitle,volume,issue,pubdate,pagerange,publisher,type,reviewed-work,abstract
10,10.2307/2282890,10.2307/2282890,,Gordon C. Bjork,Journal of the American Statistical Association,59,305,1964-03-01T00:00:00Z,pp. 301-303,American Statistical Association,brv,Price and Quantity Trends in the Foreign Trade of the United States.|Robert E. Lipsey,
11,10.2307/2282696,10.2307/2282696,The Metropolitan Area Concept: An Evaluation of the 1950 SMA's,Allan G. Feldt,Journal of the American Statistical Association,60,310,1965-06-01T00:00:00Z,pp. 617-636,American Statistical Association,fla,,"A selected group of 1950 SMA's are examined to determine the extent to which they comprise self-sufficient trading areas with respect to local service activities. By comparing the self-sufficiency of each SMA to the self-sufficiency of its urbanized area and of an areal unit made up of the SMA plus contiguous counties, the quality of each SMA is evaluated. Each SMA is classified as being either overbounded, underbounded or truebounded. The type of boundary discrepancy exhibited by an SMA is strongly related to its degree of proximity to other SMA's and is unrelated to its population size."
12,10.2307/2289627,10.2307/2289627,,Robert E. Weiss,Journal of the American Statistical Association,85,412,1990-12-01T00:00:00Z,pp. 1172-1173,American Statistical Association,brv,Handbook of Nonlinear Regression Models.|David A. Ratkowsky,
13,10.2307/2278986,10.2307/2278986,,Marion W. Worthing,Journal of the American Statistical Association,36,216,1941-12-01T00:00:00Z,pp. 566-568,American Statistical Association,brv,"The Basing Point Problem., Price Discrimination in Steel.|John M. Blair;Arthur Reeside",
14,10.2307/2279571,10.2307/2279571,The Construction of Two Height Charts,May Ayres Burgess,Journal of the American Statistical Association,32,198,1937-06-01T00:00:00Z,pp. 290-310,American Statistical Association,fla,,
15,10.2307/2289766,10.2307/2289766,Multinomial Runs Tests to Detect Clustering in Constrained Free Recall,"Gail Rubin, Charles E. McCulloch, Michael A. Shapiro",Journal of the American Statistical Association,85,410,1990-06-01T00:00:00Z,pp. 315-320,American Statistical Association,fla,,"Psychologists often want to detect category structure in subjects' free recall protocols. Although runs tests based on the binomial distribution are commonly used to detect nonrandomness within a sequence, many research situations require tests based on the multinomial distribution. We propose a test of randomness versus clustering based on the number of runs in multinomial data. We illustrate its use with data from a mass communication experiment using a constrained free recall procedure."
16,10.2307/2291100,10.2307/2291100,,Frank B. Martin,Journal of the American Statistical Association,90,430,1995-06-01T00:00:00Z,pp. 802-803,American Statistical Association,brv,Advanced Linear Models.|Song-Gui Wang;Shein-Chung Chow,
17,10.2307/2283299,10.2307/2283299,,Richard H. Lindeman,Journal of the American Statistical Association,58,302,1963-06-01T00:00:00Z,pp. 576-577,American Statistical Association,brv,Statistics in Psychological Research.|William S. Ray,
18,10.2307/2286582,10.2307/2286582,The Effect of Air Pollution Upon Mortality: A Consideration of Distributed Lag Models: Comment,"Byron W. Brown, Jr.",Journal of the American Statistical Association,73,363,1978-09-01T00:00:00Z,p. 472,American Statistical Association,fla,,
19,10.2307/2282198,10.2307/2282198,,Werner Hochwald,Journal of the American Statistical Association,55,289,1960-03-01T00:00:00Z,pp. 233-234,American Statistical Association,brv,Forecasting Economic Activity for the Chicago Region: Final Report.|Irving Hoch,
20,10.2307/2286581,10.2307/2286581,The Effect of Air Pollution Upon Mortality: A Consideration of Distributed Lag Models,Ronald E. Wyzga,Journal of the American Statistical Association,73,363,1978-09-01T00:00:00Z,pp. 463-472,American Statistical Association,fla,,"The relationship between daily mortality and urban air pollution is considered in a regression context. Several distributed lag models are examined in order to discover a possible delayed mortality response. The results of those models with geometrically declining lag coefficients are consistent with those of the other lag models. Adjustment is made for serial correlation, and the consequences of measurement error are explored. Application of the various models to four to six different time periods allows an examination of the consistency of these models. Results for all time periods indicate associations between daily mortality and air pollution values. The distributed lag models suggest that any lagged effect is negligible in comparison with the immediate response."
21,10.2307/27639774,10.2307/27639774,A Monte Carlo Approach to Filtering for a Class of Marked Doubly Stochastic Poisson Processes,"Silvia Centanni, Marco Minozzo",Journal of the American Statistical Association,101,476,2006-12-01T00:00:00Z,pp. 1582-1597,American Statistical Association,fla,,"Marked doubly stochastic Poisson processes are a particular type of marked point processes that are characterized by the number of events in any time interval as being conditionally Poisson distributed, given another positive stochastic process called intensity. Here we consider a subclass of these processes in which the intensity is assumed to be a deterministic function of another nonexplosive marked point process. In particular, we will investigate an intensity jump process with an exponential decay having an analytic form for the distribution of the times and sizes of the jumps, which can be seen as a generalization of the classical shot noise process. Assuming that the intensity is unobservable, interest here is in its filtering, that is, in the computation of its conditional distribution, over a whole time interval, given an observed trajectory of realized events. Because, in general, this computation cannot be performed analytically, we propose a simulation method that provides an approximate solution, which relies on the reversible-jump Markov chain Monte Carlo algorithm. Interestingly, the proposed filtering algorithm also allows the setup of a likelihood-based procedure for the estimation of the parameters of the model based on stochastic versions of the expectationn̵maximization (EM) algorithm. The potential of the filtering and estimation methods proposed are illustrated through some simulation experiments as well as on a financial ultra-high-frequency dataset of intraday S&amp;P500 futures prices."
22,10.2307/2288996,10.2307/2288996,Multiplicative Errors-in-Variables Models with Applications to Recent Data Released by the U.S. Department of Energy,Jiunn T. Hwang,Journal of the American Statistical Association,81,395,1986-09-01T00:00:00Z,pp. 680-688,American Statistical Association,fla,,"In an errors-in-variables model, the predicting variables are observed with errors. Traditionally, the errors are assumed to be additive. In this article, I consider the case in which the error is multiplicative, a situation that arises when analyzing some recent data released by the U.S. Department of Energy. A consistent estimator  $\hat\beta$  is provided for regression coefficients β by correcting the asymptotic bias of the least squares estimate. It is shown that  $\hat\beta - \beta$ , after being normalized by an estimate of its covariance, is asymptotically normally distributed. This can, therefore, be used to construct approximate tests and confidence sets for β. The results are essentially nonparametric."
23,10.2307/2288331,10.2307/2288331,Dynamic Representation of Multivariate Time Series Data,"J. J. Mezrich, S. Frysinger, R. Slivjanovski",Journal of the American Statistical Association,79,385,1984-03-01T00:00:00Z,pp. 34-40,American Statistical Association,fla,,"In this article we describe a procedure for representing multivariate time series data by means of interactive, computer-generated dynamic imagery with computer-music accompaniment. This innovation conveys the novel insights that dynamic imagery can provide; yet, the imagery is developed from principles that make the representation useful when examined either statically or dynamically. This is because the development of the dynamic representation is guided by the same perceptual and technical principles used in making a motion picture. The particular implementation we describe is evaluated by a formal psychophysics experiment in which we measure the threshold correlation that can be perceived in our dynamic representation, and in each of three different types of graphical portrayals."
24,10.2307/2287337,10.2307/2287337,,Diane Lambert,Journal of the American Statistical Association,77,380,1982-12-01T00:00:00Z,pp. 938-939,American Statistical Association,brv,"Asymptotic Efficiency of Statistical Estimators: Concepts and Higher Order Asymptotic Efficiency (Lecture Notes in Statistics, Vol. 7).|Masafumi Akahira;Kei Takeuchi",
25,10.2307/30047465,10.2307/30047465,,Anja Sturm,Journal of the American Statistical Association,101,473,2006-03-01T00:00:00Z,p. 388,American Statistical Association,brv,The Theory of Measures and Integration|Eric M. Vestrup,
26,10.2307/2281776,10.2307/2281776,A Guide to the Literature on Statistics of Religious Affiliation with References to Related Social Studies,Benson Y. Landis,Journal of the American Statistical Association,54,286,1959-06-01T00:00:00Z,pp. 335-357,American Statistical Association,fla,,"The following bibliographic essay is a critical review of many sources on statistics of religious affiliation, including references to studies by social scientists that treat of or are closely related to religious affiliation. It is found that statistics of religious affiliation generally originate with the unstandardized records kept by clergymen or lay clerks in over 300,000 local churches, who are for the most part untrained. Officials of national religious bodies probably receive and publish reports from most local churches, but a considerable proportion of these officers make public official reports that are only their own estimates. Periodic compilations of ""the latest information"" are noted. A brief summary of the U.S. Censuses of Religious Bodies is also made. A Church Distribution Study is described. Social scientists probably regard most current statistics on religious affiliation as crude. The limitations and defects of these statistics have received relatively little documentary study by trained statisticians."
27,10.2307/2285699,10.2307/2285699,,Samuel H. Preston,Journal of the American Statistical Association,69,346,1974-06-01T00:00:00Z,pp. 574-575,American Statistical Association,brv,Differential Mortality in the United States: A Study in Socioeconomic Epidemiology.|Evelyn M. Kitagawa;Philip M. Hauser,
28,10.2307/2669738,10.2307/2669738,Front Matter,,Journal of the American Statistical Association,95,452,2000-12-01T00:00:00Z,p. 1369,American Statistical Association,mis,,
29,10.2307/2287034,10.2307/2287034,Asymmetric Time Series,William E. Wecker,Journal of the American Statistical Association,76,373,1981-03-01T00:00:00Z,pp. 16-21,American Statistical Association,fla,,"Asymmetric time series respond to innovations with one of two different rules according to whether the innovation is positive or negative. Quoted industrial prices are apparently such a series. It has been observed that when market conditions change, quoted prices are not revised immediately. This delay operates more strongly against reductions in price quotations than against increases. A statistical model for such asymmetric times series is developed and analyzed. An estimation procedure is given as well as a statistical test of the hypothesis of symmetry versus the alternative of asymmetry. Asymmetric time series models are fit to several economic time series."
30,10.2307/2287091,10.2307/2287091,Back Matter,,Journal of the American Statistical Association,76,373,1981-03-01T00:00:00Z,p. 218,American Statistical Association,mis,,
31,10.2307/2291660,10.2307/2291660,Practical Small-Sample Asymptotics for Regression Problems,"Robert L. Strawderman, George Casella, Martin T. Wells",Journal of the American Statistical Association,91,434,1996-06-01T00:00:00Z,pp. 643-654,American Statistical Association,fla,,"Saddlepoint approximations are derived for sums of independent, but not necessarily identically distributed random variables, along with generalizations to estimating equations and multivariate problems. These results are particularly useful for accurately approximating the distribution of regression coefficients. General formulas are given for the distribution of the coefficients arising out of a generalized linear model with both canonical and noncanonical link functions. We illustrate the case of logistic regression with a real data example and show how the Gibbs sampler may be used to obtain confidence sets for each regression parameter based on the saddlepoint approximation."
32,10.2307/2289489,10.2307/2289489,,Steven B. Caldwell,Journal of the American Statistical Association,82,398,1987-06-01T00:00:00Z,pp. 682-683,American Statistical Association,brv,Social System Accounts: Linking Social and Economic Indicators Through Tangible Behavior Settings.|Karl A. Fox,
33,10.2307/2281559,10.2307/2281559,,F. M.,Journal of the American Statistical Association,49,268,1954-12-01T00:00:00Z,pp. 926-927,American Statistical Association,brv,Gamma Globulin in the Prophylaxis of Poliomyelitis: An Evaluation of the Efficacy of Gamma Globulin in the Prophylaxis of Paralytic Poliomyelitis as used in the United States 1953.,
34,10.2307/2277888,10.2307/2277888,Miscellaneous Notes,"Roswell F. Phelps, Bernice Lamb, D. C. Elliott, A. W. Lohr, H. S. Davis",Journal of the American Statistical Association,27,177,1932-03-01T00:00:00Z,pp. 92-99,American Statistical Association,mis,,
35,10.2307/2291146,10.2307/2291146,Inference and Predictions from Poisson Point Processes Incorporating Expert Knowledge,"Sylvia Campodonico, Nozer D. Singpurwalla",Journal of the American Statistical Association,90,429,1995-03-01T00:00:00Z,pp. 220-226,American Statistical Association,fla,,"We present a Bayesian approach for inference and predictions from nonhomogeneous Poisson point processes. The novel feature of our approach is the use of ""expert knowledge"" or ""engineering information"" on the mean value function of the process. We describe two scenarios from the field of reliability in which engineering information on the mean value function is available. The first scenario pertains to the prediction of software failures during the debugging phase. Here expert knowledge is provided by the published empirical experiences of software engineers involved with the testing and debugging of several software systems. The second scenario pertains to the prediction of defects in a rail segment for which expert knowledge is supplied by an engineering model."
36,10.2307/2670017,10.2307/2670017,,Russell V. Lenth,Journal of the American Statistical Association,94,447,1999-09-01T00:00:00Z,pp. 983-984,American Statistical Association,brv,"The Total Least Squares Problem: Computational Aspects and Analysis|Sabine Van Huffel;Joos Vandewalle, Solving Least Squares Problems|Charles L. Lawson;Richard J. Hanson, Theoria Combinatoris Observationum Erroribus Minimus Obnoxiae. Pars Prior. Pars Posterior. Supplementum. Theory of the Combination of Observations Least Subject to Errors. Part One, Part Two, Supplement|Carl Friedrich Gauss;G. W. Stewart",
37,10.2307/2286733,10.2307/2286733,Field Experimentation in Weather Modification: Rejoinder,"Roscoe R. Braham, Jr.",Journal of the American Statistical Association,74,365,1979-03-01T00:00:00Z,pp. 97-104,American Statistical Association,fla,,
38,10.2307/2281644,10.2307/2281644,An Efficient Method of Estimating Seemingly Unrelated Regressions and Tests for Aggregation Bias,Arnold Zellner,Journal of the American Statistical Association,57,298,1962-06-01T00:00:00Z,pp. 348-368,American Statistical Association,fla,,"In this paper a method of estimating the parameters of a set of regression equations is reported which involves application of Aitken's generalized least-squares [1] to the whole system of equations. Under conditions generally encountered in practice, it is found that the regression coefficient estimators so obtained are at least asymptotically more efficient than those obtained by an equation-by-equation application of least squares. This gain in efficiency can be quite large if ""independent"" variables in different equations are not highly correlated and if disturbance terms in different equations are highly correlated. Further, tests of the hypothesis that all regression equation coefficient vectors are equal, based on ""micro"" and ""macro"" data, are described. If this hypothesis is accepted, there will be no aggregation bias. Finally, the estimation procedure and the ""micro-test"" for aggregation bias are applied in the analysis of annual investment data, 1935-1954, for two firms."
39,10.2307/2289007,10.2307/2289007,"Estimation, Prediction, and Interpolation for ARIMA Models with Missing Data","Robert Kohn, Craig F. Ansley",Journal of the American Statistical Association,81,395,1986-09-01T00:00:00Z,pp. 751-761,American Statistical Association,fla,,"We show how to define and then compute efficiently the marginal likelihood of an ARIMA model with missing observations. The computation is carried out by using the univariate version of the modified Kalman filter introduced by Ansley and Kohn (1985a), which allows a partially diffuse initial state vector. We also show how to predict and interpolate missing observations and obtain the mean squared error of the estimate."
40,10.2307/2277645,10.2307/2277645,,John W. Harriman,Journal of the American Statistical Association,25,170,1930-06-01T00:00:00Z,pp. 235-236,American Statistical Association,brv,"Hand-to-Mouth Buying: A Study in the Organization, Planning and Stabilization of Trade.|L. S. Lyon",
41,10.2307/2277790,10.2307/2277790,,Laurence H. Sloan,Journal of the American Statistical Association,26,174,1931-06-01T00:00:00Z,pp. 239-240,American Statistical Association,brv,Investment.|L. L. B. Angas,
42,10.2307/2277827,10.2307/2277827,Certain Effects of Grouping Upon the Size of the Correlation Coefficient in Census Tract Material,"C. E. Gehlke, Katherine Biehl",Journal of the American Statistical Association,29,185,1934-03-01T00:00:00Z,pp. 169-170,American Statistical Association,fla,,
43,10.2307/27639827,10.2307/27639827,A Simple Risk-Adjusted Exponentially Weighted Moving Average,"Olivia Grigg, David Spiegelhalter",Journal of the American Statistical Association,102,477,2007-03-01T00:00:00Z,pp. 140-152,American Statistical Association,fla,,"In such contexts as medical monitoring there is a need for a simple procedure to estimate the level of a smoothly changing dynamic process while adjusting for risk factors associated with heterogeneous nonnormal observations. Standard methods exist for when the data are normal, and simple methods have been developed for nonnormal data without covariates. The dynamic generalized linear model (DGLM) may be considered a standard for nonnormal data with covariates, but perhaps one that is overcomplicated for many contexts. We propose adapting the standard exponentially weighted moving average (EWMA) to take into account the effect of risk factors. By approximating the correct exponential family likelihood, we derive a risk-adjusted EWMA (RA—EWMA) that is essentially a standard EWMA applied to ""Pseudo-observations,"" which are the original observations adjusted for differential risk. The RA—EWMA can be expressed as a type of filter, in which current estimate = previous estimate + discounted predictive error. We review Bayesian state-space models related to the EWMA and examine the properties of each. The RA—EWMA and DGLM are compared algebraically, through simulation and an example. In the example, the expected mortality after surgery by a particular surgeon is allowed to vary over time and is estimated through the RA—EWMA. Each binary observation is adjusted for the effect of patient-specific risk factors to standardize information fed into the estimator for the expected mortality for a ""Baseline"" patient. The tool used for adjustment can be used to provide future patient-specific preoperative risk assessments. We conclude that the RA—EWMA performs similarly to the DGLM, is conceptually and computationally simpler by virtue of having fewer and simpler stages, and has an intuitive appeal to a wide variety of stakeholders."
44,10.2307/2290124,10.2307/2290124,A New Family of Multivariate Distributions With Applications to Monte Carlo Studies,"Christopher J. Nachtsheim, Mark E. Johnson",Journal of the American Statistical Association,83,404,1988-12-01T00:00:00Z,pp. 984-989,American Statistical Association,fla,,"We consider a new class of multivariate probability distributions having representation X = RLY<sup>(p)</sup>, where R is distributed as <tex-math>$\sqrt\chi^2_{(p)}, L$</tex-math> is the Choleski factorization of the scaling matrix ∑, and Y<sup>(p)</sup> represents an arbitrary distribution on the p-dimensional unit hypersphere. If Y<sup>(p)</sup> is uniform, then X has a multivariate normal distribution with mean 0 and covariance matrix ∑. The use of classical spherical distributions or other nonuniform distributions for Y<sup>(p)</sup> leads to interesting, controllable departures from normality that are particularly relevant to robustness studies. Their use is illustrated in a Monte Carlo investigation of the robustness of Hotelling's T<sup>2</sup>. Variate generation routines for the cardioid, triangular, offset normal, wrapped normal, wrapped Cauchy, von Mises, power sine, Fisher, and Bingham distributions are developed."
45,10.2307/2286501,10.2307/2286501,,Robert F. Ling,Journal of the American Statistical Association,72,360,1977-12-01T00:00:00Z,pp. 930-931,American Statistical Association,brv,Solving Least Squares Problems|Charles L. Lawson;Richard J. Hanson,
46,10.2307/2288081,10.2307/2288081,,Charles A. Calhoun,Journal of the American Statistical Association,80,389,1985-03-01T00:00:00Z,pp. 234-235,American Statistical Association,brv,"Age, Time, and Fertility: Applications of Exploratory Data Analysis.|Mary B. Breckenridge",
47,10.2307/2281544,10.2307/2281544,Business Failures: Another Example of the Analysis of Failure Data,K. S. Lomax,Journal of the American Statistical Association,49,268,1954-12-01T00:00:00Z,pp. 847-852,American Statistical Association,fla,,"The analyses of failure data given by Davis [1] all involve essentially constant or increasing conditional probabilities of failure. For business failures, however, it is reasonable to expect monotonically decreasing conditional probabilities. An analysis of data on failures of four types of business in Poughkeepsie, New York, from 1844 to 1926 [2] confirms this expectation. The conditional probabilities of failure for these four series are well described by both exponential and hyperbolic functions."
48,10.2307/2287979,10.2307/2287979,Counting by Weighing: An Approach Using Renewal Theory,"Irwin Guttman, Ulrich Menzefricke",Journal of the American Statistical Association,81,393,1986-03-01T00:00:00Z,pp. 129-131,American Statistical Association,fla,,"Renewal theory and Bayesian decision theory are used to solve a problem related to counting a large number of items by weighing them. Specifically, a batch is to be obtained containing a given number of items by adding items until their total weight reaches a critical value that can depend on the results of a preliminary sample. Furthermore, the optimal sample size for this preliminary sample is to be determined. The distribution of individual weights is assumed to be normal."
49,10.2307/2283604,10.2307/2283604,An Alternative to Satterthwaite's Test Involving Positive Linear Combinations of Variance Components,"Richard B. Howe, Raymond H. Myers",Journal of the American Statistical Association,65,329,1970-03-01T00:00:00Z,pp. 404-412,American Statistical Association,fla,,"This article proposes a refinement of the usual approximation due to Satterthwaite for making a significance test when the test statistic involves a single mean square in the numerator and a linear combination of mean squares in the denominator, that linear combination involving known positive constants. The test procedure is outlined in detail, and its derivation given in a separate section. The development of the technique essentially involves determining, by successive approximations, a function which serves as the test criterion. This function is given through terms in the cubes of the reciprocals of the degrees of freedom involved in the problem, thereby giving a deviation from the advertised significance level which is smaller (in magnitude) than the deviation provided by the Satterthwaite procedure. An expression approximating the power of the test is also developed."
50,10.2307/2281910,10.2307/2281910,Early Failures in Life Testing,"Rupert G. Miller, Jr.",Journal of the American Statistical Association,55,291,1960-09-01T00:00:00Z,pp. 491-502,American Statistical Association,fla,,"Data from certain life test experiments exhibit such an unusually high concentration of failures near time 0 that the assumption of an over-all exponential density is unwarranted. One hypothesis for this phenomenon is that due to faulty construction or defective parts, certain test items fail prematurely; these items are termed ""early failures."" To handle this type of data, an early failure model is postulated in which one failure rate is assumed to be in effect for an initial time interval [ 0, T<sub>0</sub>) and another, lower failure rate is operative thereafter. Estimators for the two failure rates are given in the case where T<sub>0</sub> is known and in the case where T<sub>0</sub> is not known exactly but can be assumed to be within a specified interval. Methods for obtaining approximate large sample confidence regions are outlined and procedures for handling small samples are described."
51,10.2307/2278937,10.2307/2278937,,Wilbert G. Fritz,Journal of the American Statistical Association,33,202,1938-06-01T00:00:00Z,pp. 475-476,American Statistical Association,brv,Analyses of Business Cycles.|Arthur B. Adams,
52,10.2307/2284667,10.2307/2284667,A Probabilistic Model for Identifying Errors in Data Editing,"Joseph I. Naus, Thomas G. Johnson, Ramiro Montalvo",Journal of the American Statistical Association,67,340,1972-12-01T00:00:00Z,pp. 943-950,American Statistical Association,fla,,"Certain data screening systems incorporate large numbers of logical checks on data entering the system. When violated, these logical checks indicate that various combinations of variates are in error. This article provides a model for assigning a probability measure to identify variates in error when there is a simultaneous violation of a set of logical checks. For certain symmetry conditions, the measure is a reasonable approximation to the posterior probability that given a violation of a set of conditions, a variate is in error."
53,10.2307/2284804,10.2307/2284804,On the Goodness-of-Fit Problem for Continuous Symmetric Distributions,Eugene F. Schuster,Journal of the American Statistical Association,68,343,1973-09-01T00:00:00Z,pp. 713-715,American Statistical Association,fla,,This article considers the problem of testing a completely specified continuous symmetric distribution against alternatives which are also symmetric about the same point. The symmetry is utilized in obtaining a new distribution-free statistic of the Kolomogorov-Smirnov type which can be used to halve the width of the Kolomogorov-Smirnov confidence band for the unknown distribution function.
54,10.2307/2278164,10.2307/2278164,Census of Distribution,Robert J. McFall,Journal of the American Statistical Association,27,179,1932-09-01T00:00:00Z,pp. 302-306,American Statistical Association,fla,,
55,10.2307/2281800,10.2307/2281800,Publications Received,,Journal of the American Statistical Association,54,286,1959-06-01T00:00:00Z,pp. 526-527,American Statistical Association,mis,,
56,10.2307/2281201,10.2307/2281201,A Study of Industrial Use of Probability Statistics in the Physical Sciences,Julian H. Toulouse,Journal of the American Statistical Association,50,272,1955-12-01T00:00:00Z,pp. 1014-1021,American Statistical Association,fla,,
57,10.2307/2288824,10.2307/2288824,,Robert Hooke,Journal of the American Statistical Association,82,399,1987-09-01T00:00:00Z,p. 953,American Statistical Association,brv,The Fascination of Statistics.|Richard J. Brook;Gregory C. Arnold;Thomas H. Hassard;Robert M. Pringle,
58,10.2307/2278897,10.2307/2278897,,Blair Stewart,Journal of the American Statistical Association,34,206,1939-06-01T00:00:00Z,pp. 459-460,American Statistical Association,brv,"World Wheat Survey and Outlook September 1938.|Helen C. Farnsworth;Holbrook Working, Shipping and Freight Rates in the Overseas Grain Trade.|V. D. Wickizer, Wheat Futures Prices and Trading at Liverpool Since 1886.|Holbrook Working;Sidney Hoos, The World Wheat Situation, 1937-38, A Review of the Crop Year.|Joseph S. Davis",
59,10.2307/2290104,10.2307/2290104,,Marjo V. Smith,Journal of the American Statistical Association,84,408,1989-12-01T00:00:00Z,p. 1101,American Statistical Association,brv,Empirical Model Building.|James R. Thompson,
60,10.2307/2282326,10.2307/2282326,Some Nonparametric Tests for Comovements Between Time Series,"Leo A. Goodman, Yehuda Grunfeld",Journal of the American Statistical Association,56,293,1961-03-01T00:00:00Z,pp. 11-26,American Statistical Association,fla,,"The test, proposed by Moore and Wallis [23], of the existence of correlation between the movements in two time series (eliminating at least the primary effects of trends) was justified by them in ""the special case of randomly arranged [signs of the] first differences"" in both series. Moore and Wallis also noted that the signs of the first differences in a time series will have a negative serial correlation if the time series is a purely random process (or if it is a particular kind of generalization of a purely random process). It is therefore necessary to modify the Moore-Wallis test when applying it to such time series in order to take into account this serial correlation. In the present article, a simple modified form of the Moore-Wallis test is suggested, which can be applied to such time series. Somewhat similar modifications are also suggested for testing the existence of correlation between some more general kinds of time series. The importance of taking into account the effects of trends in the time series and the effects of the serial correlations (between the signs of the first differences) is illustrated by means of two numerical examples. Finally, the study of the movements in three or more time series is briefly discussed."
61,10.2307/2288958,10.2307/2288958,,R. Kirk Steinhorst,Journal of the American Statistical Association,83,401,1988-03-01T00:00:00Z,p. 271,American Statistical Association,brv,Classical and Modern Regression With Applications.|Raymond H. Myers,
62,10.2307/2281434,10.2307/2281434,The Economics of the President's Economic Reports,Arnold C. Harberger,Journal of the American Statistical Association,51,275,1956-09-01T00:00:00Z,pp. 454-460,American Statistical Association,fla,,
63,10.2307/2283678,10.2307/2283678,Sampling Error in the Consumer Price Index,Marvin Wilkerson,Journal of the American Statistical Association,62,319,1967-09-01T00:00:00Z,pp. 899-914,American Statistical Association,fla,,"A description is given of the system of replicated samples introduced into the Consumer Price Index as of December 1963. Essentially simple in concept, the main difficulties related to implementation of the design throughout the complex CPI structure. Estimates of sampling error in the CPI, the first such estimates for a major national price index, are given, and their adequacy and limitations evaluated. The results indicate that any change in the published CPI of .2 per cent (not index points) over a monthly, quarterly or longer period is significant at the 5 per cent level."
64,10.2307/2278827,10.2307/2278827,,David Schenker,Journal of the American Statistical Association,36,213,1941-03-01T00:00:00Z,p. 149,American Statistical Association,brv,Speed Methods of Statistics for Use in Business.|Donald E. Church,
65,10.2307/2280312,10.2307/2280312,Briefer Notices,,Journal of the American Statistical Association,45,251,1950-09-01T00:00:00Z,pp. 473-475,American Statistical Association,fla,,
66,10.2307/30045307,10.2307/30045307,,Marie Davidian,Journal of the American Statistical Association,98,463,2003-09-01T00:00:00Z,pp. 767-768,American Statistical Association,brv,Hierarchical Linear Models: Applications and Data Analysis Methods (2nd ed.)|Stephen W. Raudenbush;Anthony S. Bryk,
67,10.2307/2288059,10.2307/2288059,Estimating the Population in a Census Year: 1980 and Beyond: Comment,John E. Rolph,Journal of the American Statistical Association,80,389,1985-03-01T00:00:00Z,pp. 125-126,American Statistical Association,fla,,
68,10.2307/2290672,10.2307/2290672,,Paul Newbold,Journal of the American Statistical Association,87,420,1992-12-01T00:00:00Z,pp. 1243-1244,American Statistical Association,brv,Introduction to Multiple Time-Series Analysis.|Helmut Lutkepohl,
69,10.2307/2281246,10.2307/2281246,,David L. Wallace,Journal of the American Statistical Association,50,272,1955-12-01T00:00:00Z,pp. 1367-1368,American Statistical Association,brv,Clinical vs. Statistical Prediction.|Paul E. Meehl,
