id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed-work	abstract
10.2307/27742804	10.2307/27742804	Varying Ecological Quality Influences the Probability of Polyandry in White-Handed Gibbons (Hylobates Iar) in Thailand	Tommaso Savini, Christophe Boesch, Ulrich H. Reichard	Biotropica	41	4	2009-07-01T00:00:00Z	pp. 503-513	The Association for Tropical Biology and Conservation	fla		Although members of the family Hylobatide are known to be monogamous, adult white-handed gibbons (Hylobates lar) at Khao Yai National Park, Thailand, also show multimale groups and polyandry. A need for more than one male to successfully raise offspring cannot explain the occurrence of polyandry in these territorial primates, because direct paternal care is absent in this species. We hypothesize that polyandry is primarily related to costs/benefits for males of cooperatively defending a female and/or resources; our prediction was that polyandry would become more frequent with increasing costs of female/resource defense. We measured the ecological quality of seven gibbon home ranges over a 3-yr period (2001–2003) to investigate how resource availability affected the probability of polyandry, and found a significant negative relationship between home range quality and home range size. Larger home ranges were of lower quality. As predicted, groups living on larger, poorer home ranges also experienced longer periods of polyandry. In forest areas of comparatively low quality, acquiring and maintaining a large home range that includes enough resources for a female to reproduce steadily may surpass a single male's capacity. Our model of cooperative male polyandry was supported by preliminary data of shared territorial defense and access to the female. However, interaction proportions were strongly skewed, and female's primary male partners monopolized grooming and mating. Nevertheless, a primary male on a large territory may benefit from the presence of a secondary male with aid in territorial/female defense, whereas a secondary male may gain by avoiding high dispersal costs.	
10.2307/23213730	10.2307/23213730	Vulnerability of the northern Mongolian steppe to climate change: insights from flower production and phenology	Pierre Liancourt, Laura A. Spence, Bazartseren Boldgiv, Ariuntsetseg Lkhagva, Brent R. Helliker, Brenda B. Casper, Peter S. Petraitis	Ecology	93	4	2012-04-01T00:00:00Z	pp. 815-824	Ecological Society of America	fla		The semiarid, northern Mongolian steppe, which still supports pastoral nomads who have used the steppe for millennia, has experienced an average 1.7°C temperature rise over the past 40 years. Continuing climate change is likely to affect flowering phenology and flower numbers with potentially important consequences for plant community composition, ecosystem services, and herder livelihoods. Over the growing seasons of 2009 and 2010, we examined flowering responses to climate manipulation using open-top passive warming chambers (OTCs) at two locations on a south-facing slope: one on the moister, cooler lower slope and the other on the drier, warmer upper slope, where a watering treatment was added in a factorial design with warming. Canonical analysis of principal coordinates (CAP) revealed that OTCs reduced flower production and delayed peak flowering in graminoids as a whole but only affected forbs on the upper slope, where peak flowering was also delayed. OTCs affected flowering phenology in seven of eight species, which were examined individually, either by altering the time of peak flowering and/or the onset and/or cessation of flowering, as revealed by survival analysis. In 2010, which was the drier year, OTCs reduced flower production in two grasses but increased production in an annual forb found only on the upper slope. The particular effects of OTCs on phenology, and whether they caused an extension or contraction of the flowering season, differed among species, and often depended on year, or slope, or watering treatment; however, a relatively strong pattern emerged for 2010 when four species showed a contraction of the flowering season in OTCs. Watering increased flower production in two species in 2010, but slope location more often affected flowering phenology than did watering. Our results show the importance of taking landscape-scale variation into account in climate change studies and also contrasted with those of several studies set in cold, but wetter systems, where warming often causes greater or accelerated flower production. In cold, water-limited systems like the Mongolian steppe, warming may reduce flower numbers or the length of the flowering season by adding to water stress more than it relieves cold stress.	
10.2307/2129370	10.2307/2129370	How Can an Index of Party Competition Best be Derived?	Paul T. David	The Journal of Politics	34	2	1972-05-01T00:00:00Z	pp. 632-638	Cambridge University Press, Southern Political Science Association	fla			
10.2307/20151012	10.2307/20151012	The Effect of Correlated Errors of Measurement on Correlations among Tests: A Correlation for Spearman's Correction for Attenuation	Richard H. Williams	The Journal of Experimental Education	43	2	1974-12-01T00:00:00Z	pp. 63-65	Taylor & Francis, Ltd.	fla		An equation comparable to Spearman's correction for attenuation, which does not depend upon the assumption that error scores are uncorrelated with true scores and with other sets of error scores, is derived. It is shown that when the assumption of zero correlation among these components is tenable, the equation reduces to the one given by Spearman.	
10.2307/1827043	10.2307/1827043	Back Matter		Journal of Political Economy	70	1	1962-02-01T00:00:00Z		The University of Chicago Press	mis			
10.2307/27927312	10.2307/27927312	The promise of non-profits in Poland and Hungary: an analysis of third sector renaissance	Stephen M. Wunker	Voluntas: International Journal of Voluntary and Nonprofit Organizations	2	2	1991-11-01T00:00:00Z	pp. 89-107	Springer	fla		The non-profit sector arising in Poland and Hungary bears little resemblance to its pre-war ancestors. The new non-profits are shaped by social and economic forces brought about by the state socialists. State socialist service policies have left the non-profits with substantial need for their services, but the organisations face several major constraints in meeting that demand. Current government policies towards services and non-profits are discussed. Government and foreign funders can play a significant role in fostering the new non-profits, but a careful prioritisation of objectives is necessary. The present situation shows that many theories about non-profit organisations are not internationally cross-applicable, although several hypotheses have partial relevance. Le secteur bénévole qui se développe en Pologne et en Hongrie n'a que peu de choses à voir avec son prédécesseur d'avant-guerre. Ce nouveau secteur est marqué par des forces socio-économiques qui sont le résultat du socialisme d'Etat. La politique du socialisme d'Etat en matière de services a conduit à une forte demande de prestations de la part des entités bénévoles, mais celles-ci se trouvent confrontées à plusieurs contraintes importantes lorsqu'il s'agit de faire face à cette demande. L'article traite de la politique actuelle des gouvernements vis à vis des services et du secteur bénévole. Les crédits publics ou étrangers ont un rôle important à jouer dans le développement de ce nouveau secteur, mais il est important de définir la hiérarchie des priorités. La situation actuelle nous montre que beaucoup de théories concernant les organisations bénévoles ne peuvent s'appliquer de manière globale à tous les pays, mais que plusieurs hypothèses s'appliquent au moins partiellement. Der dritte Sektor in Polen und Ungarn hat kaum Áhnlichkeit mit seinen vor-sozialistischen Vorgängern. Die neu entstandenen Organisationen werden von sozialen und ökonomischen Kräften bestimmt, die vom Staatssozialismus hervorgebracht wurden. Die Dienstleistungspolitik des Staatssozialismus hat zu einer starken Nachfrageerhöhung bei gleichzeitiger Unterversorgung von Dienstleistungen geführt. Der Aufsatz diskutiert die gegenwärtige Regierungspolitik in Bezug auf soziale Dienste und Nonprofit-Organisationen. Staat und ausländische Geldgeber können eine bedeutende Rolle bei der Unterstützung der neuen Organisationen des Nonprofit-Sektors spielen, allerdings ist eine sorgfältige Abwägung der Prioritäten bei der Zielsetzung notwendig. Die gegenwärtige Situation zeigt, daß viele Theorien über Nonprofit-Organisationen international nicht übertragbar sind, allerdings haben einige Hypothesen partielle Bedeutung. El sector no lucrativo que emerge en Polonia y Hungría guarda pocas semejanzas con su ancestro de la pre-guerra. Las nuevas organizaciones no lucrativas están marcadas por las fuerzas económicas y sociales impulsadas por los estados socialistas. Las políticas de servicios de los estados socialistas han dejado a las organizaciones no lucrativas con una sustancial demanda por sus servicios, pero estas se encuentran con varias limitaciones importantes para satisfacerla. Las actuales políticas gubernamentales hacia los servicios y las organizaciones no lucrativas son discutidas en este trabajo. El gobierno y los donantes extranjeros pueden jugar un papel destacado en la promoción de estas nuevas organizaciones, pero se precisa una priorización clara de los objetivos. La situación presente muestra que muchas de las teorías sobre las organizaciones no-lucrativas no son aplicables internacionalmente, aunque algunas hipótesis tienen una relevancia parcial.	
10.2307/3560391	10.2307/3560391	Nontreatment of Spina Bifida: An 'Inbuilt Insurance Policy'		The Hastings Center Report	8	2	1978-04-01T00:00:00Z	pp. 2-3	The Hastings Center	mis			
10.2307/1140969	10.2307/1140969	Situational Tests in Metropolitan Police Recruit Selection	Robert B. Mills, Robert J. Mcdevitt, Sandra Tonkin	The Journal of Criminal Law, Criminology, and Police Science	57	1	1966-03-01T00:00:00Z	pp. 99-106	Northwestern University	fla			
10.2307/2351226	10.2307/2351226	Doctoral Dissertations Accepted, 1962-63		The Journal of Business	37	1	1964-01-01T00:00:00Z	pp. 112-116	The University of Chicago Press	mis			
10.2307/20150698	10.2307/20150698	An Empirical Evaluation of the Accomplishment Quotient: A Four Year Study at the Junior High School Level	Lida Harmer Haggerty	The Journal of Experimental Education	10	1	1941-09-01T00:00:00Z	pp. 78-90	Taylor & Francis, Ltd.	fla			
10.2307/4478761	10.2307/4478761	Some Comments on the CBOE Call Options Index	Gary L. Gastineau, Albert Madansky	Financial Analysts Journal	40	4	1984-07-01T00:00:00Z	pp. 58-67	CFA Institute	fla		The Chicago Board Options Exchange (CBOE) Call Option Index provides an estimate of the average value of standardized, six-month, at-the-money call options, expressed as a percentage of the price of the underlying stocks. The CBOE index does not attempt to eliminate the effects of changing interest rates and changes in the pattern and timing of dividends. The Gastineau-Madansky index, on the other hand, eliminates these effects and focuses on changes in the market's expectation for the volatility of the underlying stocks. One can gain some appreciation of the effect of interest rates and dividends on the CBOE index by looking at the level of and the net difference between the short-term interest rate and the average dividend yield. Since 1978, when short-term rates began to rise relative to dividend yields, the CBOE and the Gastineau-Madansky indexes have diverged materially. The high short-term rates of 1979 caused the CBOE index to exceed the levels that prevailed during most of 1977; the Gastineau-Madansky index, in contrast, showed that expected stock price volatility was at a historical low in the second quarter of 1979. Most investors who use an option premium index in their analyses use it as a measure of expected or implied stock price volatility. But the CBOE Call Option Index is too dependent on the dividend-interest rate differential to be a meaningful indicator of the market's expectations for future stock price volatility.	
10.2307/3976412	10.2307/3976412	Beta Blockers, Depression: Breaking the Link	K. A. Fackelmann	Science News	141	14	1992-04-04T00:00:00Z	p. 213	Society for Science & the Public	fla			
10.2307/3588421	10.2307/3588421	A Developmental Perspective on Technology in Language Education	Mark Warschauer	TESOL Quarterly	36	3	2002-10-01T00:00:00Z	pp. 453-475	Teachers of English to Speakers of Other Languages, Inc. (TESOL)	fla		Is technology a tool for language learning, or is language learning a tool with which people can access technology? This article suggests that both language and technology are tools for individual and societal development. The article introduces a developmental approach to integrating technology in language education, based on consideration of both product and process. It then illustrates these concepts through analysis of a large, U.S.-funded English language developmental program in Egypt. Two projects are examined: a teacher education program on computers in English language teaching and a basic English methodology course taught via videoconferencing. The analysis indicates that a developmental approach is critical to successful integration and use of technology in language education programs.	
10.2307/30087011	10.2307/30087011	Safety, Pharmacokinetics, and Antiviral Activity of HGS004, a Novel Fully Human IgG4 Monoclonal Antibody against CCR5, in HIV-1-Infected Patients	Jacob Lalezari, Gopal K. Yadavalli, Michael Para, Gary Richmond, Edwin DeJesus, Stephen J. Brown, Wendy Cai, Cecil Chen, John Zhong, Lu Anne Novello, Michael M. Lederman, G. Mani Subramanian	The Journal of Infectious Diseases	197	5	2008-03-01T00:00:00Z	pp. 721-727	Oxford University Press	fla		Background. HGS004 is a fully human immunoglobulin (Ig) G4 monoclonal antibody against CC chemokine receptor 5 (CCR5) with robust in vitro activity against a diverse panel of CCR5-tropic human immunodeficiency virus type 1 (HIV-1) isolates. Methods. A single-blind, randomized, placebo-controlled study was conducted in patients infected with CCR5tropic HIV-1 to evaluate the safety, pharmacokinetics, and antiviral activity of HGS004. Sixty-three subjects were randomized into 5 dose cohorts (0.4, 2, 8, 20, and 40 mg/kg) and received a single intravenous dose of HGS004 or placebo. Results. HGS004 was well tolerated, and no dose-limiting toxicities were observed. Pharmacokinetics were nonlinear across the 0.4-40-mg/kg dose range, with dose-proportional increases in maximum concentration, although the area under the curve increased more than proportionally to dose. High levels of receptor occupancy were observed for up to 28 days in the higher-dose cohorts. Plasma HIV-1 RNA reductions of >1               <tex-math>$log_{10}$</tex-math>               at day 14 were observed in 14 (54%) of 26 subjects in the 8-, 20-, and 40-mg/kg cohorts. In the 40-mg/kg cohort, 4 of 10 subjects had a >1               <tex-math>$log_{10}$</tex-math>               HIV-1 RNA reduction at day 28. Drug concentrations relative to isolate sensitivity (the ratio of the concentration at day 14 to               <tex-math>$IC_{90}$</tex-math>               ) predicted antiviral response on day 14. Conclusions. HGS004 is safe and well tolerated and demonstrates meaningful antiviral activity when administered to patients infected with CCR5-tropic HIV-1.	
10.2307/124377	10.2307/124377	Quantification in American Archaeology: A Historical Perspective	Geoffrey A. Clark, C. Russell Stafford	World Archaeology	14	1	1982-06-01T00:00:00Z	pp. 98-119	Taylor & Francis, Ltd.	fla		In this paper we survey the development of the use of quantitative methods in American archaeology, using for our guidance the contents of American Antiquity since its first publication in 1935. We conclude that the utility of 'Confirmatory Data Analysis' has been much overrated in archaeology, and suggest that the alternative technique of 'Exploratory Data Analysis', developed by Tukey and others, may be greatly preferable.	
10.2307/4150929	10.2307/4150929	Social Thought and Commentary: A Note on the Political Idea of "Latino" in American Life	Niccolo Caldararo, James Quesada	Anthropological Quarterly	79	4	2006-10-01T00:00:00Z	pp. 731-736	The George Washington University Institute for Ethnographic Research	fla			
10.2307/1433764	10.2307/1433764	Interaction of Race and Test on Reading Performance Scores	Norman Eagle, Anna S. Harris	Journal of Educational Measurement	6	3	1969-10-01T00:00:00Z	pp. 131-135	National Council on Measurement in Education	fla		This study examines the relationship between race and performance on two nationally standardized reading tests. The appropriate reading tests of the Iowa Test of Basic Skills and Metropolitan Achievement Battery were administered to all fourth and sixth-grade students in all elementary schools of an urban school district near New York City. Although white pupils earned higher scores than nonwhite pupils on both tests, the Metropolitan produced significantly greater differences between the races than the Iowa, at both grade levels. Factorial analysis of variance confirmed the statistical significance of these differences. Implications of Race X Test (suggesting S.E.S. X Test) interaction effects for program evaluation and instruction are briefly discussed.	
10.2307/3061947	10.2307/3061947	Back Matter		SIAM Journal on Numerical Analysis	39	3	2002-01-01T00:00:00Z	p. 1096	Society for Industrial and Applied Mathematics	mis			
10.2307/51378	10.2307/51378	Interactions of Mating, Egg Production and Death Rates in Females of the Mediterranean Fruit Fly, Ceratitis capitata	Tracey Chapman, Takahisa Miyatake, Hazel K. Smith, Linda Partridge	Proceedings: Biological Sciences	265	1408	1998-10-07T00:00:00Z	pp. 1879-1894	The Royal Society	fla		Costs of reproduction include costs of producing eggs and of mating itself. In the present study, we made an experimental investigation of costs of reproduction in the Mediterranean fruit fly (medfly, Ceratitis capitata). We demonstrated that virgins live longer than non-virgin females. However, in strong contrast to most findings within the Diptera, non-virginity had no detectable effect on egg production. Therefore the increased longevity of the virgin females cannot be attributed to an increase in egg production in non-virgin females, and instead indicates a cost of mating. A comparison of the life spans of normal females and those sterilized by low doses of X-irradiation, revealed an additional cost of egg production. There were no significant differences in remating levels between females that did and did not lay eggs, showing that the cost of producing eggs is independent of mating frequency. Medfly females therefore suffer a decrease in survival as a result of egg production and of mating, and these costs are independent of one another. To put our results into context, we reviewed the existing literature on the effects of mating on longevity, egg production and sexual receptivity for 64 species of Diptera, and examined the pattern of mating effects that emerged.	
10.2307/27542452	10.2307/27542452	Sense of Belonging to School: Can Schools Make a Difference?	Xin Ma	The Journal of Educational Research	96	6	2003-07-01T00:00:00Z	pp. 340-349	Taylor & Francis, Ltd.	fla		Using education survey data from 6,883 Grade 6 students in 148 schools and from 6,868 Grade 8 students in 92 schools in New Brunswick, Canada, the author applied student and school characteristics to explain differences among students and schools regarding students' sense of belonging to school. Results of hierarchical linear modeling showed that in Grades 6 and 8, discrepancies in students' sense of belonging were mainly within schools, rather than between schools. At the student level, sense of belonging in both grades was affected more by students' mental and physical conditions and less by their individual and family characteristics. Students' self-esteem was the single most important predictor of their sense of belonging, followed by their health status. At the school level, school climate (academic press or expectation in Grade 6 and disciplinary climate in Grade 8) was more important than school context in shaping students' sense of belonging.	
10.2307/2287721	10.2307/2287721	The Well-Calibrated Bayesian: Comment	Joseph B. Kadane	Journal of the American Statistical Association	77	379	1982-09-01T00:00:00Z	pp. 610-611	American Statistical Association	fla			
10.2307/813951	10.2307/813951	Summary of Investigations Relating to the English Language Arts in Secondary Education: 1969	Nathan S. Blount	The English Journal	59	5	1970-05-01T00:00:00Z	pp. 677-690	National Council of Teachers of English	fla			
10.2307/3343385	10.2307/3343385	"Where Does the Damp Come from?" Investigations into the Indoor Environment and Respiratory Health in Boston Public Housing	H. Patricia Hynes, Doug Brugge, Neal-Dra Osgood, John Snell, Jose Vallarino, John Spengler	Journal of Public Health Policy	24	3/4	2003-01-01T00:00:00Z	pp. 401-426	Palgrave Macmillan Journals	fla		The self-reported prevalence of asthma increased by 75% from 1980 to 1994, a trend found to be significant and evident in every region of the country. The increase has been most marked in children 0-14 years of age, and there is evidence that, as with lead poisoning, inner-city and urban populations are most at risk. Attention has turned to the role of indoor environment risk factors, especially in homes and schools. Such factors include moisture and mold growth, pest infestation, dust mites, the building envelope, heating systems, inadequate ventilation, NO2 and environmental tobacco smoke. The Healthy Public Housing Initiative (HPHI) is a Boston-based community-centered research and intervention project designed to engage Boston Housing Authority residents in a collaborative process to improve respiratory health, quality of life, building conditions, and building maintenance in public housing. This article summarizes the significant research findings from four pilot studies in housing developments that lay the foundation for the larger HPHI asthma-related environmental intervention study. The research design for the pilot projects is informed by principles of community-collaborative research. The strengths of this model of research to our work are also discussed.	
10.2307/1941282	10.2307/1941282	The Use of Regression for Detecting Competition with Multicollinear Data	Bruce A. Carnes, Norman A. Slade	Ecology	69	4	1988-08-01T00:00:00Z	pp. 1266-1274	Ecological Society of America	fla		Monte Carlo simulations were used to demonstrate that regression methods could be successfully used to estimate competition coefficients with collinear data, but only under conditions that may be difficult to meet with ecological data. Ordinary least squares performs well when estimating coefficients associated with noncollinear predictor variables. Stepwise regression and maximum eigenvalue least squares reduce collinearity by deleting information that, even though not statistically significant, may be important in accurately estimating interaction. We propose that apparent competition (Holt 1977) and the failure of regression techniques to detect competition when it is known to exist experimentally may be due to the omission or lack of measurement of critical elements of the community matrix.	
10.2307/2961552	10.2307/2961552	Case Studies in the Boys' Club Study	R. L. Whitley	Journal of Educational Sociology	6	1	1932-09-01T00:00:00Z	pp. 17-30	American Sociological Association	fla			
10.2307/20618354	10.2307/20618354	Homophilic Adhesion and CEACAM1-S Regulate Dimerization of CEACAM1-L and Recruitment of SHP-2 and c-Src	Mario M. Müller, Esther Klaile, Olga Vorontsova, Bernhard B. Singer, Björn Öbrink	The Journal of Cell Biology	187	4	2009-11-16T00:00:00Z	pp. 569-581	The Rockefeller University Press	fla		Carcinoembryonic antigen (CEA)—related cell adhesion molecule 1 (CAM1 [CEACAM1]) mediates homophilic cell adhesion and regulates signaling. Although there is evidence that CEACAM1 binds and activates SHP-1, SHP-2, and c-Src, knowledge about the mechanism of transmembrane signaling is lacking. To analyze the regulation of SHP-1/SHP-2/c-Src binding, we expressed various CFP/YFP-tagged CEACAM1 isoforms in epithelial cells. The supramolecular organization of CEACAM1 was examined by cross-linking, coclustering, coimmunoprecipitation, and fluorescence resonance energy transfer. SHP-1/SHP-2/c-Src binding was monitored by coimmunoprecipitation and phosphotyrosine-induced recruitment to CEACAM1-L in cellular monolayers. We find that trans-homophilic CEACAM1 binding induces cis-dimerization by an allosteric mechanism transmitted by the N-terminal immunoglobulin-like domain. The balance of SHP-2 and c-Src binding is dependent on the monomer/dimer equilibrium of CEACAM1-L and is regulated by trans-binding, whereas SHP-1 does not bind under physiological conditions. CEACAM1-L homodimer formation is reduced by coexpression of CEACAM1-S and modulated by antibody ligation. These data suggest that transmembrane signaling by CEACAM1 operates by alteration of the monomer/dimer equilibrium, which leads to changes in the SHP-2/c-Src—binding ratio.	
10.2307/20447005	10.2307/20447005	Right-Wing Authoritarianism, Attitude Salience, and Beliefs about Matters of Fact	Herbert L. Mirels, Janet B. Dean	Political Psychology	27	6	2006-12-01T00:00:00Z	pp. 839-866	International Society of Political Psychology	fla		Previous investigations have demonstrated a relationship between endorsement of rightwing authoritarian (RWA) ideology and attitudes toward social and societal issues (e.g., abortion, drug use, affirmative action, and homosexuality). By contrast, the present studies examined the relationship between RWA and beliefs about matters of fact bearing on such issues (e.g., estimates of the prevalence of third trimester abortions, AIDS, concealed weapons). Studies 1 and 2 supported the propositions that high-RWA and low-RWA participants would show differences in their informational beliefs about sociopolitical matters consistent with differences in their respective ideologies and consistent with their putative differential cynicism about human nature. Study 3 demonstrated that the relationship between RWA and informational beliefs is amplified by the heightened salience of attitudes toward the targets of those beliefs.	
10.2307/29522380	10.2307/29522380	Content Of Low Density Lipoprotein Receptors In Breast Cancer Tissue Related To Survival Of Patients	Mats J. Rudling, Lars Ståhle, Curt O. Peterson, Lambert Skoog	British Medical Journal (Clinical Research Edition)	292	6520	1986-03-01T00:00:00Z	pp. 580-582	BMJ Publishing Group	fla		The content of low density lipoprotein (LDL) receptors in tissue from primary breast cancers was determined and its prognostic information compared with that of variables of established prognostic importance. Frozen tumour specimens were selected, and tissue from 72 patients (32 of whom had died) were studied. The LDL receptor content showed an inverse correlation with the survival time. Analysis by a multivariate statistical method showed that the presence of axillary metastasis, content of receptors for oestrogen and LDL, diameter of the tumour, and DNA pattern were all of prognostic value with regard to patient survival. Improved methods of predicting survival time in patients with breast cancer may be of value in the choice of treatment for individual patients.	
